Technique,Fold1,Fold2,Fold3,Fold4,Fold5,mean,std
parzen_ecoc_agg,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0
kmeans_max_agg,0.15656565656565657,0.23232323232323232,0.26262626262626265,0.3939393939393939,0.1414141414141414,0.23737373737373738,0.090459043140356
svdd_max_agg,0.18181818181818182,0.20707070707070707,0.17676767676767677,0.22727272727272727,0.19696969696969696,0.19797979797979798,0.01818181818181818
kmeans_decision_templates_agg,0.1919191919191919,0.41919191919191917,0.3888888888888889,0.21717171717171718,0.09090909090909091,0.2616161616161616,0.12409862746969959
svdd_decision_templates_agg,0.21717171717171718,0.4797979797979798,0.4696969696969697,0.4595959595959596,0.09090909090909091,0.3434343434343434,0.1598387106654746
parzen_max_agg,0.24242424242424243,0.4444444444444444,0.35858585858585856,0.398989898989899,0.09090909090909091,0.30707070707070705,0.1271845132802129
svdd_ecoc_agg,0.20707070707070707,0.12626262626262627,0.2777777777777778,0.2474747474747475,0.10101010101010101,0.19191919191919193,0.06820987077225912
parzen_decision_templates_agg,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0
kmeans_ecoc_agg,0.12121212121212122,0.20707070707070707,0.18181818181818182,0.12121212121212122,0.09090909090909091,0.14444444444444446,0.043045001520530334
