Technique,Fold1,Fold2,Fold3,Fold4,Fold5,mean,std
parzen_ecoc_agg,0.3370852605405983,0.34915469146238376,0.4570828842117207,0.43463409918473883,0.47497202045250064,0.4105857911703884,0.05667802980875683
kmeans_max_agg,0.9483012196752485,0.9678587261711246,0.9300714630189837,0.9249601081034458,0.9256452623782121,0.9393673558694029,0.01657618994840707
svdd_max_agg,0.1227642383582227,0.07707222175073936,0.1753033367037411,0.20792925837994447,0.21638106037052607,0.15989002311263473,0.05286527738969593
kmeans_decision_templates_agg,0.9612259147564364,0.9743902977495842,0.9493449781659389,0.9425936244464647,0.9139246947082768,0.9482959019653402,0.020313045759844228
svdd_decision_templates_agg,0.2744809572886263,0.14891621159837842,0.22689761164242395,0.3281186632266526,0.26715300624612603,0.24911329000044144,0.059571452541796965
parzen_max_agg,0.767586821015138,0.8741024545542249,0.5680646839094048,0.47107868681605003,0.4938560243584167,0.6349377341306469,0.15875854925740113
svdd_ecoc_agg,0.1528567321691875,0.2161629211573114,0.14812723840440356,0.125464861256794,0.0988166965206535,0.14828568990167,0.038977453953253756
parzen_decision_templates_agg,0.5720747211856161,0.558529559503429,0.6648190495128257,0.6212588427353528,0.6390041493775933,0.6111372644629633,0.040135262740171526
kmeans_ecoc_agg,0.7385103011093502,0.8452508004268944,0.7985231648735559,0.7843244981641787,0.7620016273393002,0.785722078382656,0.03605856765053
