Technique,Fold1,Fold2,Fold3,Fold4,Fold5,mean,std
parzen_ecoc_agg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kmeans_max_agg,0.7464150943396226,0.8601262748907237,0.8604651162790697,0.9292652552926526,0.9112943528235882,0.8615132187251314,0.06374809823073087
svdd_max_agg,0.8930693069306931,0.9476744186046512,0.9130014499758338,0.964729259811227,0.9468960359012715,0.9330740942447353,0.026113441387917703
kmeans_decision_templates_agg,0.8585461689587426,0.9302663438256659,0.8955512572533849,0.9823030907278165,0.8762450199203188,0.9085823761371857,0.0438727134098922
svdd_decision_templates_agg,0.9300631374453618,0.9304683727667793,0.9478512795750845,0.9471332836932241,0.9292300024919014,0.9369492151944702,0.008620625140129873
parzen_max_agg,0.858719646799117,0.9127061105722599,0.8951965065502183,0.9468960359012715,0.8935266183454137,0.9014089836336561,0.02870471401873205
svdd_ecoc_agg,0.515034880923743,0.6229469174006188,0.5670995670995671,0.692170364702882,0.6090112640801002,0.6012525988413822,0.058986108455068714
parzen_decision_templates_agg,0.06695464362850967,0.16222868650704858,0.07207637231503572,0.12085190688459624,0.08740359897172245,0.10190304166138253,0.035551364212823414
kmeans_ecoc_agg,0.6051502145922747,0.5603569751056834,0.5153846153846153,0.7143575559466935,0.5930725143284326,0.5976643750715398,0.06611538760005276
