Technique,Fold1,Fold2,Fold3,Fold4,Fold5,mean,std
parzen_ecoc_agg,0.2664153852743394,0.28013161636267614,0.17585848074921961,0.21927518681513436,0.2326960735971597,0.23487534855970585,0.036807631446193805
kmeans_max_agg,0.33698800457775835,0.2940715806828331,0.2731670531992091,0.27054998722280577,0.31734317343173435,0.2984239598228681,0.02560833878375931
svdd_max_agg,0.19195245936851146,0.35441465686781914,0.24091055905854608,0.22457609081234486,0.2746305232426217,0.2572968578699687,0.055392007796308936
kmeans_decision_templates_agg,0.37375671064130844,0.316140916417223,0.2799122001606794,0.29662522202486674,0.29013800067317397,0.31131460998345034,0.033384569523999805
svdd_decision_templates_agg,0.27214752833177636,0.3168768226064812,0.23957571324067306,0.2894040939681829,0.28801421347546796,0.2812036743245163,0.02530258784569563
parzen_max_agg,0.364053114132153,0.37873182115718473,0.3027380211574361,0.3452826559749079,0.3680414304467621,0.35176940857368877,0.02679102357748929
svdd_ecoc_agg,0.07166579006687213,0.02841565105837074,0.03276845927719174,0.059886174702647454,0.024511813218343725,0.04344957766468516,0.01878861637242345
parzen_decision_templates_agg,0.3747540487361889,0.3732202321406548,0.2237302440817328,0.2942155816435432,0.3506801688695126,0.32332005509432643,0.05770486986272243
kmeans_ecoc_agg,0.12067848882035481,0.12449286593426623,0.07841518778373913,0.12359757784403536,0.1138841620974348,0.11221365649596607,0.017304063755225856
